Id	income	age	experience	married	house_ownership	car_ownership	profession	city	state	current_job_years	current_house_years	risk_flag
79	326455	27	20	single	rented	no	Drafter	Asansol	West_Bengal	3	14	0
80	6227811	60	14	single	owned	no	Economist	Sirsa	Haryana	12	12	0
81	7839236	68	7	single	rented	no	Biomedical_Engineer	Amravati	Maharashtra	7	14	1
82	6115704	57	17	single	owned	no	Economist	Deoghar	Jharkhand	12	14	1
83	7433875	32	12	single	rented	yes	Fashion_Designer	Chennai	Tamil_Nadu	11	10	1
84	6245331	65	6	single	rented	no	Financial_Analyst	Eluru[25]	Andhra_Pradesh	6	12	0
85	4700701	48	14	single	rented	yes	Secretary	Ulhasnagar	Maharashtra	12	12	0
86	5898669	32	9	married	rented	no	Firefighter	Aligarh	Uttar_Pradesh	6	13	0
87	4329713	42	9	married	rented	no	Fashion_Designer	South_Dumdum	West_Bengal	6	14	0
88	4047079	49	7	single	rented	yes	Dentist	Indore	Madhya_Pradesh	5	14	0
89	9784947	24	11	single	rented	no	Designer	Berhampore	West_Bengal	11	14	0
90	6097344	27	16	single	rented	yes	Statistician	Kottayam	Kerala	10	14	0
91	826681	78	4	married	rented	yes	Analyst	Ongole	Andhra_Pradesh	4	14	0
92	137594	52	10	single	rented	yes	Technical_writer	Sagar	Madhya_Pradesh	7	10	1
93	575463	60	12	single	rented	yes	Firefighter	Gandhinagar	Gujarat	11	13	0
94	8005608	65	8	single	rented	no	Civil_servant	Sonipat	Haryana	8	12	1
95	7527288	24	10	single	rented	no	Biomedical_Engineer	Muzaffarpur	Bihar	5	11	0
96	7021605	31	14	single	rented	no	Technician	Raichur	Karnataka	8	10	0
97	3449511	50	19	single	rented	yes	Computer_hardware_engineer	Rajpur_Sonarpur	West_Bengal	3	14	0
98	3472864	39	10	single	rented	yes	Software_Developer	Jamnagar	Gujarat	5	13	0
99	5083653	35	14	single	rented	yes	Statistician	Ambattur	Tamil_Nadu	12	11	0
100	6275695	66	10	single	rented	no	Architect	Ambarnath	Maharashtra	10	11	1
101	4336059	54	12	single	rented	yes	Firefighter	Katihar	Bihar	12	13	0
102	4976661	22	9	single	rented	no	Architect	Kozhikode	Kerala	8	12	0
103	4417164	42	12	single	rented	no	Web_designer	Vellore	Tamil_Nadu	8	14	0
104	9334042	52	10	single	rented	yes	Economist	Malegaon	Maharashtra	5	11	0
105	535157	50	2	married	rented	no	Engineer	Kochi	Kerala	2	10	0
106	4126991	66	3	single	rented	no	Microbiologist	Nagaon	Assam	3	12	0
107	5165629	61	0	single	rented	no	Aviator	North_Dumdum	West_Bengal	0	12	1
108	1240330	29	18	married	rented	yes	Consultant	Gopalpur	West_Bengal	12	14	0
109	862841	77	7	single	rented	no	Fashion_Designer	North_Dumdum	West_Bengal	7	14	0
110	6501716	37	5	single	rented	no	Civil_servant	Nagpur	Maharashtra	5	13	0
111	1197375	41	0	single	rented	yes	Microbiologist	Srinagar	Jammu_and_Kashmir	0	11	0
112	7430695	59	8	single	rented	no	Chef	Malda	West_Bengal	8	10	0
113	4726819	67	5	single	rented	no	Consultant	Davanagere	Karnataka	5	13	0
114	1319541	72	10	married	rented	no	Politician	Bhagalpur	Bihar	10	14	0
115	1281960	24	8	single	rented	no	Politician	Siwan[32]	Bihar	8	13	0
116	5522159	22	6	single	rented	no	Computer_hardware_engineer	Anantapur	Andhra_Pradesh	6	12	1
117	4428363	46	11	single	rented	no	Software_Developer	Nagaon	Assam	11	10	1
118	4759451	60	4	married	rented	no	Official	Meerut	Uttar_Pradesh	4	13	0
119	7154493	28	4	single	rented	no	Engineer	Dindigul	Tamil_Nadu	4	13	1
120	245844	67	4	married	rented	no	Economist	Bhatpara	West_Bengal	3	11	0
121	8769550	23	13	single	rented	no	Computer_hardware_engineer	Ghaziabad	Uttar_Pradesh	9	10	1
122	8312895	35	12	single	rented	no	Psychologist	Bhagalpur	Bihar	11	14	0
123	4432483	69	6	single	rented	no	Hotel_Manager	Kulti	West_Bengal	6	10	0
124	9867887	79	9	single	rented	no	Physician	Chapra	Bihar	4	12	0
125	444242	77	11	married	rented	no	Dentist	Dibrugarh	Assam	8	12	0
126	8288147	32	20	single	rented	no	Financial_Analyst	Gandhinagar	Gujarat	3	13	0
127	3159260	62	4	single	rented	no	Petroleum_Engineer	Panihati	West_Bengal	4	10	0
128	8753042	74	12	married	rented	no	Computer_operator	Bhiwandi	Maharashtra	9	12	0
129	46750	33	13	single	rented	yes	Chef	Morbi	Gujarat	10	11	1
130	1855377	26	3	single	rented	no	Magistrate	Shimla	Himachal_Pradesh	3	13	0
131	7187813	47	2	single	rented	no	Flight_attendant	Parbhani	Maharashtra	2	13	1
132	5644262	60	7	single	rented	no	Engineer	Kalyan-Dombivli	Maharashtra	3	11	1
133	4171960	73	16	single	rented	no	Magistrate	Gorakhpur	Uttar_Pradesh	10	10	0
134	9397962	58	3	married	rented	no	Psychologist	Saharanpur	Uttar_Pradesh	3	14	0
135	3643187	77	20	single	rented	no	Web_designer	Bellary	Karnataka	12	14	0
136	2015341	47	6	single	rented	no	Graphic_Designer	Panvel	Maharashtra	6	13	0
137	7465121	37	2	single	rented	yes	Microbiologist	Siliguri	West_Bengal	2	12	0
138	3606323	33	0	single	rented	yes	Mechanical_engineer	Bongaigaon	Assam	0	11	0
139	2966871	78	7	married	rented	no	Magistrate	Patna	Bihar	3	11	0
140	8496659	59	12	single	rented	no	Army_officer	Karimnagar	Telangana	8	12	0
141	7889777	35	15	single	rented	no	Physician	Ramgarh	Jharkhand	13	10	0
142	3345583	32	2	single	rented	no	Mechanical_engineer	Ozhukarai	Puducherry	2	14	0
143	4392927	41	2	single	rented	no	Chemical_engineer	Mirzapur	Uttar_Pradesh	2	13	1
144	4995211	68	9	single	rented	no	Firefighter	Akola	Maharashtra	9	11	0
145	3970273	53	14	single	rented	no	Air_traffic_controller	Satna	Madhya_Pradesh	4	12	0
146	2570688	46	9	single	rented	no	Firefighter	Motihari[34]	Bihar	9	11	0
147	2506726	54	11	single	rented	no	Designer	Jalna	Maharashtra	6	14	0
148	9657655	76	0	single	rented	no	Psychologist	Jalandhar	Punjab	0	12	0
149	4269729	70	8	single	rented	yes	Fashion_Designer	Unnao	Uttar_Pradesh	8	13	0
150	799233	72	4	single	rented	yes	Hotel_Manager	Udupi	Karnataka	4	14	0
151	8791091	33	15	single	rented	no	Microbiologist	Karnal	Haryana	12	14	0
152	1122270	72	11	single	rented	no	Librarian	Cuttack	Odisha	5	12	0
153	3775604	46	11	single	rented	no	Surgeon	Proddatur	Andhra_Pradesh	5	11	1
154	8195887	79	16	single	rented	no	Chef	Ichalkaranji	Maharashtra	14	13	1
155	4392149	59	11	single	rented	no	Secretary	Warangal[11][12]	Telangana	10	13	0
156	4991059	39	11	single	rented	no	Magistrate	Jhansi	Uttar_Pradesh	11	14	0
157	1013313	32	16	single	rented	no	Geologist	Bulandshahr	Uttar_Pradesh	10	12	0
158	1800877	21	10	married	rented	yes	Software_Developer	Narasaraopet	Andhra_Pradesh	5	13	0
159	2217063	34	3	single	rented	no	Computer_hardware_engineer	Chinsurah	West_Bengal	3	11	0
160	1134496	77	3	single	rented	no	Surgeon	Jehanabad[38]	Bihar	3	10	1
161	7462623	46	13	single	rented	no	Fashion_Designer	Kamarhati	West_Bengal	10	14	0
162	6045182	78	6	single	rented	no	Designer	Raichur	Karnataka	6	12	0
163	6847133	69	7	single	rented	no	Surgeon	Dhanbad	Jharkhand	6	10	0
164	5403886	29	14	single	rented	no	Scientist	Gudivada	Andhra_Pradesh	7	10	0
165	1856689	46	5	single	rented	yes	Air_traffic_controller	Amravati	Maharashtra	5	12	1
166	4998898	27	13	single	rented	no	Economist	Gandhidham	Gujarat	13	11	0
167	3367218	28	5	single	rented	no	Analyst	Raiganj	West_Bengal	4	11	0
168	4195266	40	20	married	rented	no	Web_designer	Ajmer	Rajasthan	14	14	0
169	8451099	70	4	single	rented	yes	Design_Engineer	Kishanganj[35]	Bihar	4	13	1
170	624985	47	11	single	rented	no	Software_Developer	Varanasi	Uttar_Pradesh	6	11	1
171	3207222	28	3	single	rented	yes	Dentist	Belgaum	Karnataka	3	10	0
172	4341286	75	1	single	rented	no	Consultant	Tirupati[21][22]	Andhra_Pradesh	1	13	0
173	233888	64	1	single	rented	no	Psychologist	Tumkur	Karnataka	1	10	1
174	2942291	50	11	single	owned	no	Financial_Analyst	Unnao	Uttar_Pradesh	4	11	0
175	6044767	60	12	single	rented	yes	Engineer	Coimbatore	Tamil_Nadu	10	13	0
176	6694786	69	17	single	norent_noown	no	Surveyor	Miryalaguda	Telangana	11	11	1
177	470555	50	10	single	owned	no	Secretary	Kulti	West_Bengal	3	14	0
178	8949796	66	0	single	rented	yes	Petroleum_Engineer	Kurnool[18]	Andhra_Pradesh	0	12	0
179	412015	23	8	single	rented	no	Technical_writer	Gurgaon	Haryana	4	10	0
180	9352887	53	6	single	rented	yes	Technical_writer	Muzaffarnagar	Uttar_Pradesh	6	11	1
181	9226716	55	3	single	rented	no	Graphic_Designer	Aurangabad	Maharashtra	3	11	0
182	9364159	77	6	married	rented	no	Software_Developer	Bhavnagar	Gujarat	4	11	0
183	9934516	66	6	single	rented	yes	Hotel_Manager	Chinsurah	West_Bengal	6	14	0
184	884898	48	8	single	rented	yes	Artist	Bidar	Karnataka	8	10	0
185	5681211	79	18	single	rented	no	Web_designer	Ozhukarai	Puducherry	8	10	0
186	1185014	23	5	single	rented	no	Magistrate	Arrah	Bihar	5	13	0
187	9603186	43	5	single	rented	no	Microbiologist	Munger	Bihar	5	13	1
188	3489049	66	11	single	rented	no	Software_Developer	Tirunelveli	Tamil_Nadu	11	12	1
189	5653642	42	3	single	rented	no	Civil_engineer	Mumbai	Maharashtra	3	11	1
190	9899664	45	5	single	rented	no	Software_Developer	Bidhannagar	West_Bengal	5	10	0
191	6862187	22	7	single	rented	no	Scientist	Srinagar	Jammu_and_Kashmir	7	12	1
192	979926	61	14	single	rented	yes	Police_officer	Indore	Madhya_Pradesh	7	11	1
193	424671	64	15	single	rented	yes	Firefighter	Satna	Madhya_Pradesh	4	11	0
194	347930	64	5	single	rented	no	Politician	Proddatur	Andhra_Pradesh	5	12	0
195	8645202	65	9	single	owned	no	Technician	Mango	Jharkhand	9	13	0
196	2028733	38	4	single	rented	yes	Architect	Nashik	Maharashtra	4	11	0
197	7977722	69	19	married	rented	no	Flight_attendant	Morbi	Gujarat	14	12	0
198	6816106	31	20	single	rented	yes	Statistician	Adoni	Andhra_Pradesh	11	14	0
199	4853948	39	10	single	rented	no	Magistrate	Tirupati[21][22]	Andhra_Pradesh	10	10	0
200	227394	56	12	single	rented	no	Firefighter	Patna	Bihar	5	14	0
201	5330432	47	2	single	rented	yes	Chemical_engineer	Bidhannagar	West_Bengal	2	10	0
202	9830639	70	16	single	rented	no	Army_officer	Kadapa[23]	Andhra_Pradesh	5	11	0
203	4184636	55	2	single	rented	yes	Official	Amritsar	Punjab	2	10	0
204	2667227	76	6	single	rented	no	Official	"Khora,_Ghaziabad"	Uttar_Pradesh	6	14	0
205	4736350	38	13	single	rented	no	Microbiologist	Ambala	Haryana	6	13	1
206	5886958	60	16	single	rented	no	Analyst	Agra	Uttar_Pradesh	3	10	0
207	9845816	31	20	single	rented	no	Lawyer	Thanjavur	Tamil_Nadu	14	11	0
208	7512179	55	13	single	rented	no	Physician	Kanpur	Uttar_Pradesh	11	14	0
209	2603179	39	20	single	rented	yes	Politician	Siwan[32]	Bihar	13	11	0
210	9317473	63	20	single	rented	yes	Civil_servant	Gopalpur	West_Bengal	14	14	0
211	5616245	76	20	single	rented	yes	Surveyor	Kadapa[23]	Andhra_Pradesh	13	13	0
212	4110754	36	4	single	rented	no	Petroleum_Engineer	Ambattur	Tamil_Nadu	4	13	0
213	6305461	41	11	single	rented	yes	Air_traffic_controller	Mirzapur	Uttar_Pradesh	7	14	1
214	7552268	38	6	single	rented	no	Civil_engineer	Berhampore	West_Bengal	5	10	1
215	4334503	22	6	single	owned	no	Designer	Ratlam	Madhya_Pradesh	6	14	0
216	1328487	67	12	married	rented	no	Flight_attendant	Surendranagar_Dudhrej	Gujarat	7	10	0
217	152426	27	18	single	rented	no	Librarian	Delhi_city	Delhi	8	12	0
218	7992060	44	15	single	rented	no	Fashion_Designer	Nagaon	Assam	4	11	0
219	7357515	50	13	single	rented	yes	Fashion_Designer	Bhopal	Madhya_Pradesh	7	14	0
220	7115862	52	17	single	rented	no	Physician	Delhi_city	Delhi	14	11	0
221	1532701	79	2	single	rented	no	Graphic_Designer	Hapur	Uttar_Pradesh	2	12	0
222	4421612	79	20	single	rented	no	Firefighter	Rohtak	Haryana	8	11	0
223	9521305	77	9	single	rented	no	Consultant	Motihari[34]	Bihar	9	13	0
224	2433481	48	0	single	norent_noown	yes	Biomedical_Engineer	Durg	Chhattisgarh	0	14	0
225	6668221	66	20	single	rented	no	Industrial_Engineer	Ambarnath	Maharashtra	11	11	1
226	5109740	39	6	single	rented	no	Flight_attendant	Kanpur	Uttar_Pradesh	6	14	1
227	3902265	26	5	single	rented	no	Computer_hardware_engineer	Korba	Chhattisgarh	3	14	0
228	8602683	46	1	married	rented	no	Web_designer	Bangalore	Karnataka	1	10	0
229	7636933	44	4	single	rented	yes	Consultant	Shivpuri	Madhya_Pradesh	4	14	0
230	665309	69	11	single	rented	no	Hotel_Manager	Ichalkaranji	Maharashtra	11	11	0
231	9812058	72	1	single	rented	yes	Economist	Thrissur	Kerala	1	14	0
232	9999180	22	0	single	rented	no	Drafter	Bhavnagar	Gujarat	0	11	0
233	1126863	43	1	single	rented	no	Mechanical_engineer	Vijayanagaram	Andhra_Pradesh	1	11	0
234	8774556	63	2	single	rented	no	Flight_attendant	Howrah	West_Bengal	2	12	0
235	1882143	45	19	single	rented	yes	Magistrate	Farrukhabad	Uttar_Pradesh	4	14	1
236	7167762	49	14	single	rented	no	Firefighter	Bhopal	Madhya_Pradesh	12	14	1
237	7743419	71	15	single	rented	no	Scientist	Nangloi_Jat	Delhi	14	14	1
238	3562528	58	9	single	rented	no	Microbiologist	Madanapalle	Andhra_Pradesh	9	11	0
239	5323322	77	13	single	rented	no	Civil_engineer	Bangalore	Karnataka	13	10	0
240	5596467	26	17	single	rented	no	Mechanical_engineer	Parbhani	Maharashtra	4	13	0
241	9305585	69	8	single	rented	no	Official	Raiganj	West_Bengal	8	10	1
242	4539480	46	3	single	rented	yes	Fashion_Designer	Eluru[25]	Andhra_Pradesh	3	11	0
243	9480069	64	2	single	rented	no	Chartered_Accountant	Thoothukudi	Tamil_Nadu	2	10	0
244	9772105	29	12	single	rented	no	Aviator	Nagercoil	Tamil_Nadu	8	14	0
245	9507533	32	4	married	rented	no	Lawyer	Satna	Madhya_Pradesh	4	11	0
246	2218280	34	9	single	rented	no	Psychologist	Gaya	Bihar	9	11	0
247	2252443	77	0	single	rented	no	Surgeon	Chandigarh_city	Chandigarh	0	11	0
248	4525338	23	1	single	rented	no	Graphic_Designer	Ongole	Andhra_Pradesh	1	12	0
249	9984878	51	18	single	rented	yes	Comedian	Jammu[16]	Jammu_and_Kashmir	8	12	0
250	2285062	38	2	single	rented	no	Dentist	Kakinada	Andhra_Pradesh	2	12	0
251	6715263	29	0	single	rented	no	Surveyor	Dewas	Madhya_Pradesh	0	11	1
252	2959223	43	2	single	rented	no	Analyst	Ambala	Haryana	2	12	0
253	2370396	69	4	married	rented	no	Comedian	Shivpuri	Madhya_Pradesh	4	10	0
254	3426695	73	4	single	rented	no	Firefighter	Unnao	Uttar_Pradesh	4	14	0
255	1923950	50	12	single	rented	no	Geologist	Chandigarh_city	Chandigarh	3	14	0
256	2416807	70	10	single	rented	no	Firefighter	Bhalswa_Jahangir_Pur	Delhi	4	12	0
257	10310	70	20	single	rented	yes	Engineer	Baranagar	West_Bengal	7	14	0
258	2436026	50	4	single	rented	yes	Lawyer	Karimnagar	Telangana	4	10	0
259	5046084	62	7	married	rented	yes	Technician	Shivpuri	Madhya_Pradesh	6	14	0
260	6415225	54	13	single	rented	no	Flight_attendant	Firozabad	Uttar_Pradesh	3	13	0
261	1632386	43	20	single	rented	no	Army_officer	Gudivada	Andhra_Pradesh	11	14	1
262	6220011	57	19	single	owned	no	Engineer	Phusro	Jharkhand	14	14	0
263	461499	68	2	married	rented	no	Official	Allahabad	Uttar_Pradesh[5]	2	11	0
264	7579274	26	8	single	rented	no	Army_officer	Guna	Madhya_Pradesh	5	14	0
265	7291839	41	1	single	rented	yes	Surgeon	Thane	Maharashtra	1	12	1
266	7583437	74	13	single	owned	yes	Web_designer	Etawah	Uttar_Pradesh	9	13	0
267	9933885	65	12	single	rented	no	Comedian	Vasai-Virar	Maharashtra	4	11	0
268	4187964	78	2	single	rented	yes	Dentist	Pallavaram	Tamil_Nadu	2	10	1
269	5498131	61	15	single	rented	no	Industrial_Engineer	Amritsar	Punjab	7	13	0
270	3308198	76	10	single	rented	yes	Economist	Morena	Madhya_Pradesh	4	14	0
271	2452563	75	3	single	rented	no	Hotel_Manager	Kulti	West_Bengal	3	12	0
272	7877007	49	9	single	rented	no	Microbiologist	Amaravati	Andhra_Pradesh	9	10	0
273	7525294	43	11	single	rented	yes	Magistrate	Siliguri	West_Bengal	4	14	0
274	2062343	40	15	married	rented	yes	Aviator	Ballia	Uttar_Pradesh	14	11	0
275	6152756	49	3	married	rented	no	Psychologist	Surat	Gujarat	3	14	0
276	6325118	21	13	single	rented	no	Librarian	Burhanpur	Madhya_Pradesh	11	12	1
277	9043312	71	10	single	owned	no	Physician	Phagwara	Punjab	3	14	0
278	9344382	38	14	single	rented	yes	Secretary	Khandwa	Madhya_Pradesh	12	14	0
279	9173731	47	3	single	rented	no	Petroleum_Engineer	Hapur	Uttar_Pradesh	3	12	0
280	1996629	48	16	single	rented	no	Comedian	Farrukhabad	Uttar_Pradesh	9	14	0
281	2451457	31	9	married	rented	no	Politician	Bulandshahr	Uttar_Pradesh	9	12	0
282	4855342	24	0	single	rented	no	Lawyer	Ichalkaranji	Maharashtra	0	13	0
283	2955958	35	17	single	rented	yes	Computer_operator	Amravati	Maharashtra	7	11	1
284	6360265	31	18	single	rented	no	Scientist	Mumbai	Maharashtra	3	11	0
285	2183371	23	20	single	owned	no	Police_officer	Jhansi	Uttar_Pradesh	3	13	0
286	4718273	25	10	single	rented	no	Lawyer	Baranagar	West_Bengal	8	10	0
287	8459716	79	1	single	rented	no	Graphic_Designer	Mau	Uttar_Pradesh	1	14	0
288	2101952	46	18	single	rented	yes	Technical_writer	Berhampore	West_Bengal	7	14	0
289	4531094	41	6	single	rented	no	Magistrate	Unnao	Uttar_Pradesh	6	13	0
290	7362151	65	4	single	rented	no	Magistrate	Gurgaon	Haryana	3	11	0
291	6272411	69	2	married	rented	no	Aviator	Bhatpara	West_Bengal	2	10	0
292	7110369	35	7	single	rented	yes	Computer_hardware_engineer	Mangalore	Karnataka	3	11	0
293	7352225	78	14	married	rented	no	Firefighter	Rajpur_Sonarpur	West_Bengal	6	14	0
294	2442178	34	15	married	rented	no	Air_traffic_controller	Alwar	Rajasthan	10	13	0
295	6975092	73	9	single	rented	no	Architect	Kakinada	Andhra_Pradesh	9	13	0
296	6947233	62	10	single	rented	no	Technical_writer	Bidar	Karnataka	10	12	0
297	1818927	69	8	single	rented	no	Technical_writer	Mirzapur	Uttar_Pradesh	8	13	0
298	6197730	71	3	single	rented	no	Dentist	Mahbubnagar	Telangana	3	13	0
299	568591	65	5	single	rented	no	Firefighter	Kanpur	Uttar_Pradesh	5	11	0
300	7167873	61	0	single	rented	yes	Designer	Ambala	Haryana	0	11	1
301	2277429	42	18	single	rented	no	Analyst	Amaravati	Andhra_Pradesh	4	14	0
302	5697835	55	14	single	owned	no	Designer	Maheshtala	West_Bengal	6	14	0
303	9127290	22	11	single	rented	no	Web_designer	Ghaziabad	Uttar_Pradesh	3	14	1
304	8433425	63	13	married	rented	no	Graphic_Designer	South_Dumdum	West_Bengal	6	10	0
305	5419964	40	4	single	owned	yes	Computer_operator	Thoothukudi	Tamil_Nadu	4	13	0
306	9510775	48	3	single	rented	no	Petroleum_Engineer	Jehanabad[38]	Bihar	3	14	0
307	908803	22	18	single	rented	no	Librarian	Morena	Madhya_Pradesh	3	14	0
308	8010013	45	11	single	rented	no	Technical_writer	Hazaribagh	Jharkhand	7	14	0
309	5468664	30	2	single	rented	no	Chartered_Accountant	Kanpur	Uttar_Pradesh	2	14	1
310	6936269	46	9	single	rented	no	Firefighter	Eluru[25]	Andhra_Pradesh	8	14	0
311	6448514	30	6	single	rented	no	Magistrate	Bihar_Sharif	Bihar	6	10	0
312	667848	58	10	single	rented	no	Comedian	Faridabad	Haryana	8	12	0
313	6787542	22	0	single	norent_noown	no	Hotel_Manager	Phusro	Jharkhand	0	12	1
314	9348360	48	12	single	rented	yes	Financial_Analyst	Lucknow	Uttar_Pradesh	12	10	0
